source file,source file size (B),encryption algorithm,compression algorithm,order,encryption time (ms),compression time (ms),encrypted and compressed file size (B),decompression time (ms),decryption time (ms),intermediate write time(ms),intermediate read time(ms),final write time(ms),first intermediate size (after first operation) (B),initial characterization - mean,initial characterization - std,initial characterization - max,initial characterization - total keys,after encryption characterization - mean,after encryption characterization - std,after encryption characterization - max,after encryption characterization - total keys,repetition #
10_mb.pdf,11081517,NaCl,bzip,Compression First,38.2380485534668,2832.200765609741,7747084,715.4474258422852,28.096675872802734,5.005121231079102,11.817693710327148,3.0536651611328125,7747077,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,AES,bzip,Compression First,188.1246566772461,2669.208765029907,7747060,506.61301612854004,170.06325721740723,6.0253143310546875,15.352964401245117,4.995822906494141,7747077,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,NoEnc,gzip,Compression First,1.0073184967041016,378.70240211486816,9892971,53.25126647949219,0.0,3.9887428283691406,12.004852294921875,4.001379013061523,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,Fernet,gzip,Compression First,72.18790054321289,377.887487411499,13190712,49.00026321411133,72.01504707336426,5.976200103759766,11.035680770874023,4.004955291748047,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,NaCl,gzip,Compression First,26.579618453979492,383.0423355102539,9893011,47.75500297546387,26.990175247192383,3.004789352416992,9.011030197143555,4.013776779174805,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,AES,gzip,Compression First,233.4597110748291,415.3585433959961,9892987,50.00138282775879,213.2396697998047,4.005908966064453,11.569023132324219,5.004167556762695,9893004,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,NoEnc,zip,Compression First,0.9918212890625,376.6152858734131,9899157,54.00586128234863,0.0,4.977941513061523,12.026786804199219,3.993511199951172,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,Fernet,zip,Compression First,75.32048225402832,359.5442771911621,13198968,53.01308631896973,71.00248336791992,4.983663558959961,8.999347686767578,3.9947032928466797,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,NaCl,zip,Compression First,23.973941802978516,376.71947479248047,9899197,53.97534370422363,29.937267303466797,4.004716873168945,9.01651382446289,8.067131042480469,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,AES,zip,Compression First,243.5472011566162,410.05492210388184,9899173,82.13043212890625,229.65645790100098,6.086826324462891,10.000228881835938,6.133794784545898,9899190,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,NoEnc,lzma,Compression First,2.0089149475097656,1202.3203372955322,1699196,148.482084274292,0.0,1.9803047180175781,6.0176849365234375,7.095575332641602,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,Fernet,lzma,Compression First,13.129234313964844,1051.354169845581,2265676,107.84482955932617,17.215251922607422,1.9698143005371094,6.00123405456543,4.967451095581055,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,NaCl,lzma,Compression First,5.000829696655273,1018.69797706604,1699236,106.73356056213379,8.007049560546875,1.9996166229248047,4.999399185180664,4.012584686279297,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,AES,lzma,Compression First,43.14112663269043,949.3064880371094,1699212,119.00067329406738,42.997121810913086,0.9982585906982422,5.991935729980469,3.9992332458496094,1699229,1.8577381335564997,18.514128255525925,14327,745632,N/A,N/A,N/A,N/A,8
10_mb.pdf,11081517,NoEnc,NoZip,Encryption First,0.0,0.0,11081517,0.0,0.0,5.006074905395508,17.993927001953125,3.983736038208008,11081550,1.8577381335564997,18.514128255525925,14327,745632,1.8577381335564997,18.514128255525925,14327,745632,8
10_mb.pdf,11081517,NoEnc,bzip,Encryption First,0.0,2898.9009857177734,7747044,510.24603843688965,0.0,3.0159950256347656,8.005619049072266,4.017829895019531,11081550,1.8577381335564997,18.514128255525925,14327,745632,1.8577381335564997,18.514128255525925,14327,745632,8
10_mb.pdf,11081517,NoEnc,gzip,Encryption First,0.0,398.4501361846924,9892971,49.99351501464844,0.0,3.995656967163086,11.181831359863281,3.9992332458496094,11081550,1.8577381335564997,18.514128255525925,14327,745632,1.8577381335564997,18.514128255525925,14327,745632,8
10_mb.pdf,11081517,NoEnc,zip,Encryption First,0.0,416.95475578308105,9899157,60.64796447753906,1.0001659393310547,3.000497817993164,13.305425643920898,6.093502044677734,11081550,1.8577381335564997,18.514128255525925,14327,745632,1.8577381335564997,18.514128255525925,14327,745632,8
10_mb.pdf,11081517,NoEnc,lzma,Encryption First,0.0,922.4505424499512,1699196,101.07111930847168,0.9939670562744141,0.9858608245849609,5.008459091186523,4.019021987915039,11081550,1.8577381335564997,18.514128255525925,14327,745632,1.8577381335564997,18.514128255525925,14327,745632,8
10_mb.pdf,11081517,Fernet,NoZip,Encryption First,88.38272094726562,1.0006427764892578,14775436,0.0,87.99457550048828,5.000114440917969,11.981487274169922,3.000974655151367,14775469,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1846929,8
10_mb.pdf,11081517,Fernet,bzip,Encryption First,78.99880409240723,1525.9065628051758,11159798,661.888837814331,100.00014305114746,5.000829696655273,9.997844696044922,3.999948501586914,14775469,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1846929,8
10_mb.pdf,11081517,Fernet,gzip,Encryption First,82.99994468688965,651.923418045044,11192700,61.09356880187988,85.9072208404541,5.001068115234375,9.997844696044922,5.00035285949707,14775469,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1846929,8
10_mb.pdf,11081517,Fernet,zip,Encryption First,86.10248565673828,842.7424430847168,11192976,65.98424911499023,74.43475723266602,3.998994827270508,13.014078140258789,3.998279571533203,14775469,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1846929,8
10_mb.pdf,11081517,Fernet,lzma,Encryption First,81.9847583770752,5985.541343688965,11311148,697.1237659454346,90.00968933105469,6.032466888427734,12.120723724365234,4.6901702880859375,14775469,1.8577381335564997,18.514128255525925,14327,745632,1.000000541439623,0.0007358256110165644,2,1846928,8
10_mb.pdf,11081517,NaCl,NoZip,Encryption First,27.15468406677246,0.99945068359375,11081557,0.0,29.000282287597656,4.000663757324219,9.999752044677734,4.068613052368164,11081590,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385194,8
10_mb.pdf,11081517,NaCl,bzip,Encryption First,26.952266693115234,1637.7947330474854,11130763,602.0512580871582,26.99422836303711,5.038738250732422,12.994766235351562,4.028558731079102,11081590,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385194,8
10_mb.pdf,11081517,NaCl,gzip,Encryption First,24.00040626525879,326.1604309082031,11084960,14.999866485595703,24.99985694885254,5.000114440917969,8.00013542175293,5.001544952392578,11081590,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385194,8
10_mb.pdf,11081517,NaCl,zip,Encryption First,27.53472328186035,317.4450397491455,11085048,19.00005340576172,26.999473571777344,3.9997100830078125,11.999845504760742,4.00090217590332,11081590,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385194,8
10_mb.pdf,11081517,NaCl,lzma,Encryption First,27.21381187438965,4313.022613525391,11082168,21.996498107910156,27.988672256469727,4.004240036010742,8.958816528320312,4.134893417358398,11081590,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385194,8
10_mb.pdf,11081517,AES,NoZip,Encryption First,332.14449882507324,0.9927749633789062,11081533,1.0154247283935547,264.1794681549072,4.992961883544922,12.02535629272461,4.99415397644043,11081566,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385191,8
10_mb.pdf,11081517,AES,bzip,Encryption First,272.1579074859619,1648.3159065246582,11129847,671.1626052856445,339.6601676940918,4.203557968139648,14.39976692199707,3.9415359497070312,11081566,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385191,8
